package,run_id,stage,fusion_method,image_encoder_init,regime,seed,selected_epoch,selection_subset,used_internal_holdout_for_selection,elapsed_seconds,metrics_path,train_eval_speed_balanced_accuracy,train_eval_speed_accuracy,train_eval_speed_macro_f1,train_eval_flow_balanced_accuracy,train_eval_flow_accuracy,train_eval_flow_macro_f1,train_eval_temp_balanced_accuracy,train_eval_temp_accuracy,train_eval_temp_macro_f1,train_eval_tension_balanced_accuracy,train_eval_tension_accuracy,train_eval_tension_macro_f1,train_eval_avg4_balanced_accuracy,id_val_speed_balanced_accuracy,id_val_speed_accuracy,id_val_speed_macro_f1,id_val_flow_balanced_accuracy,id_val_flow_accuracy,id_val_flow_macro_f1,id_val_temp_balanced_accuracy,id_val_temp_accuracy,id_val_temp_macro_f1,id_val_tension_balanced_accuracy,id_val_tension_accuracy,id_val_tension_macro_f1,id_val_avg4_balanced_accuracy,id_test_speed_balanced_accuracy,id_test_speed_accuracy,id_test_speed_macro_f1,id_test_flow_balanced_accuracy,id_test_flow_accuracy,id_test_flow_macro_f1,id_test_temp_balanced_accuracy,id_test_temp_accuracy,id_test_temp_macro_f1,id_test_tension_balanced_accuracy,id_test_tension_accuracy,id_test_tension_macro_f1,id_test_avg4_balanced_accuracy,internal_holdout_speed_balanced_accuracy,internal_holdout_speed_accuracy,internal_holdout_speed_macro_f1,internal_holdout_flow_balanced_accuracy,internal_holdout_flow_accuracy,internal_holdout_flow_macro_f1,internal_holdout_temp_balanced_accuracy,internal_holdout_temp_accuracy,internal_holdout_temp_macro_f1,internal_holdout_tension_balanced_accuracy,internal_holdout_tension_accuracy,internal_holdout_tension_macro_f1,internal_holdout_avg4_balanced_accuracy,internal_holdout_param_ood_speed_balanced_accuracy,internal_holdout_param_ood_speed_accuracy,internal_holdout_param_ood_speed_macro_f1,internal_holdout_param_ood_flow_balanced_accuracy,internal_holdout_param_ood_flow_accuracy,internal_holdout_param_ood_flow_macro_f1,internal_holdout_param_ood_temp_balanced_accuracy,internal_holdout_param_ood_temp_accuracy,internal_holdout_param_ood_temp_macro_f1,internal_holdout_param_ood_tension_balanced_accuracy,internal_holdout_param_ood_tension_accuracy,internal_holdout_param_ood_tension_macro_f1,internal_holdout_param_ood_avg4_balanced_accuracy,internal_holdout_geom_ood_speed_balanced_accuracy,internal_holdout_geom_ood_speed_accuracy,internal_holdout_geom_ood_speed_macro_f1,internal_holdout_geom_ood_flow_balanced_accuracy,internal_holdout_geom_ood_flow_accuracy,internal_holdout_geom_ood_flow_macro_f1,internal_holdout_geom_ood_temp_balanced_accuracy,internal_holdout_geom_ood_temp_accuracy,internal_holdout_geom_ood_temp_macro_f1,internal_holdout_geom_ood_tension_balanced_accuracy,internal_holdout_geom_ood_tension_accuracy,internal_holdout_geom_ood_tension_macro_f1,internal_holdout_geom_ood_avg4_balanced_accuracy,internal_holdout_tension_2_speed_balanced_accuracy,internal_holdout_tension_2_speed_accuracy,internal_holdout_tension_2_speed_macro_f1,internal_holdout_tension_2_flow_balanced_accuracy,internal_holdout_tension_2_flow_accuracy,internal_holdout_tension_2_flow_macro_f1,internal_holdout_tension_2_temp_balanced_accuracy,internal_holdout_tension_2_temp_accuracy,internal_holdout_tension_2_temp_macro_f1,internal_holdout_tension_2_tension_balanced_accuracy,internal_holdout_tension_2_tension_accuracy,internal_holdout_tension_2_tension_macro_f1,internal_holdout_tension_2_avg4_balanced_accuracy,train_eval_all_head_accuracy,id_val_all_head_accuracy,id_test_all_head_accuracy,internal_holdout_all_head_accuracy,internal_holdout_tension_2_all_head_accuracy,internal_holdout_param_ood_all_head_accuracy,internal_holdout_geom_ood_all_head_accuracy
v11c_v5_build,random_frozen_linear_seed2,,,,,2.0,31,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_linear_seed2\metrics.json,,,,,,,,,,0.6743180574642768,,0.6714906764360954,,,,,,,,,,,0.6297727340564889,,0.625887705016756,,,,,,,,,,,0.617589788271435,,0.6103078776510633,,,,,,,,,,,0.40506118954759346,,0.41710514974693175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,random_frozen_linear_seed3,,,,,3.0,72,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_linear_seed3\metrics.json,,,,,,,,,,0.7063305281415856,,0.7032996097120003,,,,,,,,,,,0.6552228276811762,,0.6523307621882694,,,,,,,,,,,0.6227971187621671,,0.6156758488888676,,,,,,,,,,,0.35949936799420373,,0.37120608812821415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,random_frozen_mlp_seed1,,,,,1.0,22,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_mlp_seed1\metrics.json,,,,,,,,,,0.798061334311539,,0.7955152774640899,,,,,,,,,,,0.7504075765357884,,0.7501539387899078,,,,,,,,,,,0.7126874609887057,,0.7123240183480909,,,,,,,,,,,0.4182826805574036,,0.4308491293009206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,random_frozen_mlp_seed2,,,,,2.0,66,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_mlp_seed2\metrics.json,,,,,,,,,,0.8812680983572014,,0.8819015827993502,,,,,,,,,,,0.8091632145731086,,0.8092729144115637,,,,,,,,,,,0.7410719664805446,,0.7412073589037256,,,,,,,,,,,0.36270730571985593,,0.39120730469337855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,random_frozen_mlp_seed3,,,,,3.0,63,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\random_frozen_mlp_seed3\metrics.json,,,,,,,,,,0.867007021524059,,0.8670907408211409,,,,,,,,,,,0.7920454646936693,,0.7919455755871588,,,,,,,,,,,0.7299635453494989,,0.7302943167587639,,,,,,,,,,,0.40260108991570137,,0.4195799137717882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,scratch_four_head_seed1,,,,,1.0,16,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_four_head_seed1\metrics.json,,,,,,,,,,0.9992775369567634,,0.9992501198617623,,,,,,,,,,,0.9976923721021764,,0.9976580171317674,,,,,,,,,,,0.993995592750705,,0.9937787472576535,,,,,,,,,,,0.6516483423688166,,0.5603488025170197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,scratch_four_head_seed2,,,,,2.0,25,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_four_head_seed2\metrics.json,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.9988962472406181,,0.998934718838437,,,,,,,,,,,0.9943954308455666,,0.994206959393638,,,,,,,,,,,0.5553890806968783,,0.5101255133696676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,scratch_four_head_seed3,,,,,3.0,17,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_four_head_seed3\metrics.json,,,,,,,,,,0.9996643471529666,,0.9996549051482754,,,,,,,,,,,0.999337748344371,,0.9993624536969823,,,,,,,,,,,0.992068639667564,,0.9919985412414527,,,,,,,,,,,0.6395348837209301,,0.5548878205128206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,scratch_tension_only_seed1,,,,,1.0,23,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_tension_only_seed1\metrics.json,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.998487750508592,,0.9985110037891377,,,,,,,,,,,0.9926111277071238,,0.9924247423328655,,,,,,,,,,,0.5488308157026807,,0.506236606745936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11c_v5_build,scratch_tension_only_seed2,,,,,2.0,19,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_tension_only_seed2\metrics.json,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.9982812242797608,,0.9982975165350659,,,,,,,,,,,0.9876861173076282,,0.9875227944294865,,,,,,,,,,,0.5835420300764578,,0.5259069667021862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
