package,run_id,stage,fusion_method,image_encoder_init,regime,seed,selected_epoch,selection_subset,id_val_avg4_balanced_accuracy,id_test_avg4_balanced_accuracy,internal_holdout_avg4_balanced_accuracy,internal_holdout_param_ood_avg4_balanced_accuracy,internal_holdout_geom_ood_avg4_balanced_accuracy,internal_holdout_tension_balanced_accuracy,internal_holdout_param_ood_tension_balanced_accuracy,internal_holdout_geom_ood_tension_balanced_accuracy
v12_fusion_comparison_package,v12_concat_128_scratch_include64train_seed1,stage_1a,concat_128,scratch,include64_train_only,1.0,31,id_val,0.8992578150814932,0.8339477745573759,0.3946557577748833,,,0.7573887799653067,,
v12_fusion_comparison_package,v12_concat_128_scratch_include64train_seed2,stage_1a,concat_128,scratch,include64_train_only,2.0,33,id_val,0.9200525623817449,0.8662009060381036,0.36207184848804874,,,0.8030570768970082,,
v12_fusion_comparison_package,v12_concat_128_scratch_include64train_seed3,stage_1a,concat_128,scratch,include64_train_only,3.0,55,id_val,0.8905192083219708,0.8294030656034166,0.42398684987659535,,,0.7449228709153998,,
v12_fusion_comparison_package,v12_concat_256_scratch_include64train_seed1,stage_1a,concat_256,scratch,include64_train_only,1.0,46,id_val,0.8983862338406756,0.8404199520192741,0.3900261281452537,,,0.8176707738998314,,
v12_fusion_comparison_package,v12_concat_256_scratch_include64train_seed2,stage_1a,concat_256,scratch,include64_train_only,2.0,19,id_val,0.9140990572934723,0.8679263331409743,0.39524833472188,,,0.804618130094941,,
v12_fusion_comparison_package,v12_concat_256_scratch_include64train_seed3,stage_1a,concat_256,scratch,include64_train_only,3.0,79,id_val,0.9058221443302198,0.8548514777047597,0.4227689380160602,,,0.7861252489992049,,
v12_fusion_comparison_package,v12_film_scratch_include64train_seed1,stage_1a,film,scratch,include64_train_only,1.0,30,id_val,0.9055473821130962,0.8514292633018574,0.3784117177690945,,,0.8240117981481272,,
v12_fusion_comparison_package,v12_film_scratch_include64train_seed2,stage_1a,film,scratch,include64_train_only,2.0,59,id_val,0.9265171152077145,0.8721621249453445,0.336921552981855,,,0.8104363555847017,,
v12_fusion_comparison_package,v12_film_scratch_include64train_seed3,stage_1a,film,scratch,include64_train_only,3.0,51,id_val,0.9051709724323411,0.8455140913607662,0.35708921509956465,,,0.7716468114654446,,
v12_fusion_comparison_package,v12_gmu_caxton_dkd_warmup_include64train_seed1,stage_1b,gmu,caxton_dkd_warmup,include64_train_only,1.0,67,id_val,0.9250879562480299,0.8666319214735757,0.3729171800377841,,,0.8410767273150522,,
v12_fusion_comparison_package,v12_gmu_caxton_dkd_warmup_include64train_seed2,stage_1b,gmu,caxton_dkd_warmup,include64_train_only,2.0,20,id_val,0.9016957424995184,0.8385244471426557,0.3460522249993155,,,0.7962858431582976,,
v12_fusion_comparison_package,v12_gmu_caxton_dkd_warmup_include64train_seed3,stage_1b,gmu,caxton_dkd_warmup,include64_train_only,3.0,94,id_val,0.9207037090264532,0.8476366840432755,0.343376828090103,,,0.8361124906047914,,
v12_fusion_comparison_package,v12_gmu_scratch_include64train_seed1,stage_1a,gmu,scratch,include64_train_only,1.0,41,id_val,0.9117521302742091,0.8448043019454188,0.37600865201456607,,,0.8189921694441953,,
v12_fusion_comparison_package,v12_gmu_scratch_include64train_seed2,stage_1a,gmu,scratch,include64_train_only,2.0,54,id_val,0.917795626907055,0.8682338039740416,0.3929410982426085,,,0.8934033656111248,,
