version,phase,condition,split_policy,n_runs,train_mean,val_mean,test_mean,test_std,primary_mean,speed_mean,flow_mean,temp_mean,tension_mean,val_test_gap_mean,source_csv,note
v2,piece_cv,config_group=sample_m2_2s,,3.0,,,0.7414708259731079,0.0782760507524763,0.7261512887547344,0.791213561713147,0.683399881573476,0.7038404229775801,0.7874294376282283,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v2,sampling_gap_ablation,sample_gap_s=2.0,,,,,0.7414708259731079,0.0782760507524763,0.7261512887547344,0.791213561713147,0.683399881573476,0.7038404229775801,0.7874294376282283,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\sampling_ablation_m2.csv,m2 sampling gap ablation
v2,piece_cv,config_group=fusion_m3_1s,,3.0,,,0.7359638054587719,0.0713595212214881,0.7218923062088628,0.7757662529689767,0.6969554910469401,0.6929551746106717,0.7781783032084988,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v5.3,modality_ablation,condition_name=E_image_only_raw4; modality=image_only; split_policy=nature_temporal_split,nature_temporal_split,,,0.7381131131131131,0.7253118503118503,,,,,,,0.0128012628012628,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_modality_ablation_inventory.csv,v5.3 per-run modality ablation
v5.3,modality_ablation,condition_name=E_image_only_raw4; modality=image_only; split_policy=nature_temporal_split,nature_temporal_split,,,0.7341091091091092,0.7188149688149689,,,,,,,0.0152941402941403,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_modality_ablation_inventory.csv,v5.3 per-run modality ablation
v2,piece_cv,config_group=fusion_m5_1s,,3.0,,,0.712397777739572,0.072290810152867,0.6898347564088018,0.7524178108757832,0.6557929317810282,0.6612935265695938,0.7800868417318827,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v2\research_package_v2\piece_cv_sweeps\piece_cv_20260501_031449\tables\aggregate_by_config.csv,3-fold piece CV on corrected tension four-head labels
v5.3,modality_ablation,condition_name=E_image_only_raw4; modality=image_only; split_policy=nature_temporal_split,nature_temporal_split,,,0.7209709709709711,0.7066008316008316,,,,,,,0.0143701393701394,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_modality_ablation_inventory.csv,v5.3 per-run modality ablation
v5,ensemble,split_policy=leave_one_piece_out,leave_one_piece_out,,,,0.6981189032164116,0.0293685314297422,,0.7664749765922857,0.6545733226775615,0.6313449260682972,0.7400823875275022,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5\research_package_v5\tables\phase4_ensemble_summary.csv,v5 ensemble summary
v3,window_length_ablation,window_length=200.0; window_s=4.0,,9.0,,0.4414830761851568,0.6954430487752609,0.0587334887948898,,0.7407391439457359,0.649326166592818,0.6266462318470483,0.7650606527154413,-0.253959972590104,C:\Users\EM328 Super\Desktop\caxton-new-codex\v3\research_package_v3\tables\window_length_ablation_aggregate.csv,TCN input history length ablation
v5.1,top20_conditions,split_policy=leave_one_piece_out,leave_one_piece_out,6.0,,0.4599394103920248,0.6914880424202486,0.0536416477774708,0.6693486150011617,0.7655303276730582,0.630883316330639,0.6116322009997878,0.7579063246775094,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.1\research_package_v5_1\tables\v5_1_top20_conditions.csv,v5.1 top conditions
v5.1,feature_sync_ablation,suite=targeted_confirm; feature_config=raw2; sync_offset_samples=-6; train_sync_jitter_samples=3; split_policy=leave_one_piece_out,leave_one_piece_out,6.0,,0.4599394103920248,0.6914880424202486,0.0536416477774708,0.6693486150011617,0.7655303276730582,0.630883316330639,0.6116322009997878,0.7579063246775094,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.1\research_package_v5_1\tables\v5_1_summary_by_condition.csv,v5.1 feature/sync/jitter ablation
v5.3,nature_vs_strict_splits,source=v5.1; condition_name=targeted_best_raw2_offset_jitter; split_policy=leave_one_piece_out,leave_one_piece_out,12.0,,,0.6902160505055538,0.053222505442176,,,,,,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.3_nature_split\research_package_v5_3_nature_split\tables\v5_3_nature_vs_lopo_loco_summary.csv,nature split vs strict LOPO/LOCO comparison
v5.1,targeted_confirmation,split_policy=leave_one_piece_out,leave_one_piece_out,12.0,,0.4649503950857673,0.6902160505055538,0.053222505442176,0.6651942126719216,0.7577814649109654,0.6308996656861596,0.6069015074186394,0.7652815640064508,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.1\research_package_v5_1\tables\v5_1_targeted_confirmation_summary.csv,v5.1 targeted confirmation
v5.1,top20_conditions,split_policy=leave_one_piece_out,leave_one_piece_out,6.0,,0.4661557049229691,0.6893614243525272,0.0555628662663761,0.6627384439926262,0.7525585659271207,0.6329628106221664,0.6026939554285914,0.7692303654322307,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.1\research_package_v5_1\tables\v5_1_top20_conditions.csv,v5.1 top conditions
v5.1,feature_sync_ablation,suite=combined; feature_config=raw2; sync_offset_samples=-4; train_sync_jitter_samples=3; split_policy=leave_one_piece_out,leave_one_piece_out,6.0,,0.4661557049229691,0.6893614243525272,0.0555628662663761,0.6627384439926262,0.7525585659271207,0.6329628106221664,0.6026939554285914,0.7692303654322307,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v5.1\research_package_v5_1\tables\v5_1_summary_by_condition.csv,v5.1 feature/sync/jitter ablation
